row;name;host_id;host_name;neighbourhood_group;neighbourhood;latitude;longitude;room_type;price;minimum_nights;number_of_reviews;last_review;reviews_per_month;calculated_host_listings_count;availability_365;number_of_reviews_ltm;Wifi;AC;Beachfront;Garden;Ocean View;Netflix;Pet Friendly;Balcony;Parking;Terrace;Swimming Pool;Mountain View;TV;Lake View;Gym;Breakfast Included;Patio
1169;Gully Cottage Geraldton PetFriendly;96471358;Linda;Western Australia;GREATER GERALDTON;-28.87157;114.66958;Entire home/apt;160;1;203;2024-06-03;2.22;1;285;22;0;0;0;1;1;0;0;0;0;0;0;1;0;0;0;1;1
1170;Canal Elegance in Yunderup;29664529;Shona;Western Australia;MURRAY;-32.58602;115.77956;Entire home/apt;400;2;55;2024-06-09;1.16;38;343;15;1;0;0;1;0;0;0;1;0;0;0;1;0;0;1;0;0
1171;Lush Coastal Retreat 800m to beach;54554968;Arthur;Western Australia;AUGUSTA-MARGARET RIVER;-33.9884;114.99597;Entire home/apt;196;2;344;2024-06-16;4.35;3;206;66;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;1;1
1172;Twin share two bedroom shack Adult only;21577811;Fiona;Western Australia;ESPERANCE;-33.82434;121.92911;Entire home/apt;320;2;16;2022-04-21;0.18;6;313;0;1;0;0;0;0;1;1;0;0;0;0;1;0;1;0;0;0
1173;Beautiful Beach Shack;96775301;Nerilee;Western Australia;BUSSELTON;-33.65601;115.33574;Private room;100;1;188;2024-06-23;2.06;1;53;12;1;1;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0
1174;Ultraluxe Penthouse in covetable cultural zone;42578031;Iain;Western Australia;PERTH;-31.94967;115.85698;Entire home/apt;256;4;17;2019-01-09;0.18;1;83;0;1;0;0;0;1;0;0;1;0;1;0;1;0;0;0;0;0
1175;Seavalor Skyfall;97106086;Jodie;Western Australia;ROCKINGHAM;-32.26414;115.74616;Entire home/apt;366;3;22;2024-03-08;0.33;1;182;3;0;1;1;0;0;0;0;0;1;1;0;1;0;0;0;0;0
1176;Villa Port Grimaud on Bouvard Island;97192022;Geoff And Bec;Western Australia;MANDURAH;-32.59655;115.63759;Entire home/apt;557;1;45;2024-02-12;0.51;1;338;7;0;0;0;0;1;1;0;0;0;0;0;1;0;1;0;1;0
1177;Kalbarri Riverview Resort unit 33;77427098;Rob;Western Australia;NORTHAMPTON;-27.70156;114.16928;Entire home/apt;214;2;73;2024-04-14;0.86;1;276;12;1;0;0;0;0;0;1;0;0;0;1;0;1;0;1;0;0
1178;SF25  Seafront Unit 25;35596572;Sharlene;Western Australia;DANDARAGAN;-30.30215;115.04051;Entire home/apt;253;2;42;2024-06-11;0.45;9;275;5;0;0;0;0;1;0;1;0;0;0;0;0;0;1;1;1;0
1179;Cozy Hosted House near CBD;15848324;Shuling;Western Australia;CAMBRIDGE;-31.93246;115.79963;Entire home/apt;180;3;65;2024-04-30;0.69;1;340;9;1;0;0;1;0;0;0;0;0;1;0;0;0;1;1;0;0
1180;Beach Charm Villa Suite;96755188;Robby;Western Australia;AUGUSTA-MARGARET RIVER;-33.9898681640625;114.99735260009766;Entire home/apt;197;2;660;2024-06-24;7.15;1;324;83;0;0;0;0;0;0;1;1;1;0;1;1;0;0;0;0;0
1181;Walk to the beach from Micks place;97488888;Christine;Western Australia;STIRLING;-31.8864;115.76225;Entire home/apt;98;25;191;2024-06-18;2.1;1;65;10;0;0;0;0;0;1;0;0;1;0;0;1;1;0;1;0;0
1182;Country House with gardenspaddocks and dam;97573997;Peter;Western Australia;BUSSELTON;-33.62921;115.07866;Entire home/apt;550;2;32;2024-04-08;0.36;1;319;5;0;1;0;0;0;1;0;1;0;0;1;0;0;1;0;0;0
1183;Comfortable and Historic close to city  airport;68802645;John;Western Australia;BAYSWATER;-31.92931;115.91125;Private room;110;2;41;2020-02-09;0.44;1;89;0;1;0;0;1;0;1;0;0;0;1;0;0;0;1;0;0;0
1184;Close to Optus Stadium for AFL  Shuttle nearby;29010216;Vikki;Western Australia;VICTORIA PARK;-31.98579;115.90999;Entire home/apt;199;3;17;2024-06-22;2.48;1;88;17;1;1;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0
1185;Luxury Romance and Nature;14111284;Patti And Marty;Western Australia;EAST FREMANTLE;-32.0388;115.77128;Entire home/apt;225;2;144;2024-06-09;1.54;2;91;14;0;0;0;0;0;0;1;0;1;0;0;0;1;1;0;0;1
1186;Top floor living;83620801;Wilhelm;Western Australia;STIRLING;-31.89426;115.77655;Private room;125;4;50;2024-03-31;0.56;1;359;13;0;0;0;1;0;1;0;0;0;0;1;0;0;1;0;0;1
1187;Comfy Private Rm1B nr Vic Pk Airport  Perth City;92610908;Nathan;Western Australia;VICTORIA PARK;-31.99756;115.91176;Private room;60;2;61;2024-06-03;0.73;7;133;10;0;1;0;1;0;0;0;1;1;0;0;1;0;0;0;0;0
1188;Comfy Private Rm4B nr Vic Pk Airport  Perth City;92610908;Nathan;Western Australia;VICTORIA PARK;-31.99897;115.91055;Private room;70;2;55;2024-05-24;0.59;7;112;8;0;1;0;0;1;1;0;0;1;0;0;1;0;0;0;0;0
1189;Karri Nature Retreat;98321250;Tessa;Western Australia;MANJIMUP;-34.4373;116.25504;Entire home/apt;144;2;262;2024-06-03;2.83;1;185;35;1;0;0;0;0;0;1;1;0;0;0;0;0;1;0;0;1
1190;SF49  Seafront Unit 49;35596572;Sharlene;Western Australia;DANDARAGAN;-30.30186;115.04164;Entire home/apt;253;2;66;2024-03-11;0.73;9;278;3;0;0;1;1;0;1;1;0;0;0;0;1;0;0;0;0;0
1191;The Blue Door Villa;10336535;Paul;Western Australia;SUBIACO;-31.96127;115.8189;Entire home/apt;121;4;53;2024-03-27;0.59;3;365;9;0;0;1;0;0;1;1;1;0;0;0;0;0;0;0;0;1
1192;Breathtaking Views of the Taylor Inlet;98536938;Mandy;Western Australia;ALBANY;-34.97713;118.0456;Entire home/apt;1200;2;30;2024-06-02;0.33;2;331;4;1;0;1;0;0;0;0;1;0;0;0;0;0;0;1;0;1
1193;Cormorant Cottage;511967;Hometime Group;Western Australia;BUSSELTON;-33.62065;115.11365;Entire home/apt;338;1;23;2024-04-28;0.27;126;296;4;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;1;1
1194;Quaint stone cottage;98536938;Mandy;Western Australia;ALBANY;-34.97534;118.04649;Entire home/apt;350;2;44;2024-04-06;0.48;2;341;5;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;1;1
1195;SF50  Seafront Unit 50;35596572;Sharlene;Western Australia;DANDARAGAN;-30.30114;115.03983;Entire home/apt;253;2;71;2024-06-03;0.76;9;273;8;1;0;0;1;0;1;0;0;0;0;0;0;0;0;1;1;0
1196;Karma Chalets  Fortunate;98749245;Karma;Western Australia;DENMARK;-34.97833;117.30733;Entire home/apt;271;2;99;2024-06-23;1.15;10;243;12;1;1;0;0;0;1;0;0;0;0;0;0;1;1;0;0;0
1197;Wanderers Rest;14735832;Diane;Western Australia;BUSSELTON;-33.61534;115.10766;Entire home/apt;182;1;277;2024-04-28;3.07;1;157;21;0;0;0;0;0;1;1;0;0;0;0;0;0;1;1;0;1
1198;Near New Family Home Perfect For CouplesFamilies;99146454;Judy;Western Australia;SOUTH PERTH;-31.98149;115.87593;Entire home/apt;225;2;300;2024-06-09;3.22;1;278;39;1;0;0;0;0;0;0;0;1;0;0;1;0;0;1;1;0
1199;Palmerston Paradise  upstairs;474393;Anne;Western Australia;VINCENT;-31.942455;115.858154;Private room;100;2;49;2024-06-18;0.53;2;163;17;0;0;0;1;0;0;1;1;0;0;1;1;0;0;0;0;0
1200;Eventually in Denmark  Amongst the trees;17442800;Renee;Western Australia;DENMARK;-34.98465;117.34597;Entire home/apt;211;3;107;2024-06-07;1.25;1;268;20;0;0;0;1;0;0;0;0;1;0;0;0;0;1;1;0;1
1201;Home away from home  comfort and convenience;21914372;Darryl;Western Australia;SOUTH PERTH;-31.99405;115.86547;Entire home/apt;199;7;90;2024-06-07;0.98;1;311;3;0;1;0;0;0;0;0;1;1;0;0;0;0;1;0;0;1
1202;Resort style living in Busselton  Poolside Villa;47756595;Lorraine;Western Australia;BUSSELTON;-33.65564;115.30976;Private room;325;2;35;2024-03-06;0.38;3;252;3;0;0;1;0;0;1;0;1;1;0;0;0;0;0;1;0;0
1203;Orchid House treetop views near beach;99590132;Vicki;Western Australia;BUSSELTON;-33.70362091064453;115.01268005371094;Entire home/apt;297;3;81;2024-06-03;0.89;23;218;12;1;0;0;0;0;0;0;0;0;1;0;1;0;0;0;1;1
1204;Clovers Beach Cottage;36603736;Kathy;Western Australia;JOONDALUP;-31.82032;115.77647;Entire home/apt;240;7;24;2024-04-19;0.28;3;145;5;1;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;1
1205;Beachscapes Dunsborough;34983497;South West Holiday Properties;Western Australia;BUSSELTON;-33.61932;115.11602;Entire home/apt;291;2;101;2024-05-13;1.09;31;236;17;0;1;1;0;0;0;0;0;0;0;0;1;0;0;0;1;1
1206;Cosy Lodge Cannington  Close to Perth City;72210544;Yan;Western Australia;CANNING;-32.00715611065254;115.95592849214304;Entire home/apt;177;3;58;2024-04-28;0.7;1;303;10;0;0;1;1;0;0;0;0;1;1;0;1;0;0;0;0;0
1207;2 Bdrm 2 Bath Urban Oasis;14111284;Patti And Marty;Western Australia;EAST FREMANTLE;-32.03748;115.77275;Entire home/apt;320;2;39;2024-03-25;0.42;2;91;3;0;0;0;0;1;0;1;0;1;1;0;0;0;0;1;0;0
1208;The Waves Beachfront Unit 9;51560312;Deborah;Western Australia;DANDARAGAN;-30.29898;115.04199;Entire home/apt;360;2;343;2024-06-07;3.73;2;327;30;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1209;Melangata Station Elegant Bell Tent;87693447;Jo;Western Australia;YALGOO;-27.80396;116.88568;Private room;150;2;5;2022-07-16;0.07;4;363;0;1;1;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0
1210;Cockatoo Hills Apartment;47633756;Julie;Western Australia;MUNDARING;-31.89308;116.14237;Entire home/apt;130;2;99;2024-06-16;1.11;2;138;15;0;1;1;0;1;0;0;0;0;1;0;1;0;0;0;0;0
1211;Melangata King Room in Unique Outback Homestead;87693447;Jo;Western Australia;YALGOO;-27.80382;116.88545;Private room;410;2;3;2021-08-11;0.05;4;365;0;0;1;0;1;1;0;0;0;0;1;1;0;0;0;0;0;0
1212;Private Room no 2;51373213;Dr   James;Western Australia;MELVILLE;-32.04725;115.80889;Private room;90;4;42;2024-05-07;0.54;3;179;11;0;0;1;0;0;0;1;0;0;0;1;0;0;0;1;1;0
1213;Yeagarup Hut  a 4WD Group Private Campground;55739554;Toni;Western Australia;MANJIMUP;-34.56805;115.85005;Entire home/apt;403;1;15;2024-02-11;0.17;2;338;4;0;1;0;0;1;0;0;0;0;1;0;0;1;1;0;0;0
1214;Hopetoun Beach House;100450630;John And Kaye;Western Australia;RAVENSTHORPE;-33.9326;120.09331;Entire home/apt;275;3;99;2024-03-21;1.1;1;308;7;0;0;1;0;0;1;1;0;0;0;0;0;1;1;0;0;0
1215;Lefties  The Bay Gracetown Margaret River  NEW;39887389;Carolyn;Western Australia;AUGUSTA-MARGARET RIVER;-33.86774;114.98547;Entire home/apt;788;2;136;2024-06-04;1.48;32;296;15;0;1;0;0;0;0;1;1;0;1;0;0;0;0;0;0;1
1216;YALLINGUP RURAL RISE  Large home peaceful setting;15285710;Cheryl;Western Australia;BUSSELTON;-33.6869040293916;115.09925252917331;Entire home/apt;359;2;70;2024-06-09;0.76;2;178;6;0;0;0;0;1;0;0;0;1;0;1;0;1;0;0;0;1
1217;Private Room 1;51373213;Dr   James;Western Australia;MELVILLE;-32.0459;115.80776;Private room;90;4;71;2024-05-09;0.77;3;179;12;1;1;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0
1218;Wirraway Luxury Chalet;17749267;Danni;Western Australia;BUSSELTON;-33.75558;115.0291;Entire home/apt;349;2;147;2024-06-16;1.6;11;349;28;1;1;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0
1219;Unit in character home with large garden;775197;Frances;Western Australia;FREMANTLE;-32.06298;115.76285;Private room;28;1;253;2021-12-15;2.75;2;249;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
1220;Markerbridge  Great Family Home;100798842;Rebbecca;Western Australia;BUSSELTON;-33.62537;115.11997;Entire home/apt;300;2;87;2024-05-12;0.95;1;116;14;0;1;0;0;0;1;1;0;0;0;0;0;1;1;0;0;0
1221;Private room 2 rooms in a secured environment;51373213;Dr   James;Western Australia;MELVILLE;-32.04674;115.80774;Private room;160;4;8;2023-01-09;0.09;3;364;0;1;0;1;1;0;0;0;0;1;0;0;0;0;0;0;1;0
1222;Fresh Escape  Pet Friendly;71759305;Justine;Western Australia;BUSSELTON;-33.65567;115.3263;Entire home/apt;257;2;197;2024-06-21;2.15;1;229;22;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
1223;1 Cozy Queen Bedroom Homey  Near all amenities;42263887;Jen;Western Australia;CANNING;-32.06042;115.88209;Private room;65;1;105;2024-06-09;1.13;3;294;32;1;0;0;0;0;0;1;0;0;0;0;0;1;1;1;0;0
1224;Canal front with jetty near CBD;101181825;Jeanne;Western Australia;MANDURAH;-32.53928;115.71234;Entire home/apt;450;2;56;2024-02-11;0.71;1;225;5;0;0;0;0;0;0;0;0;1;1;0;1;0;0;1;1;0
1225;Retriever Retreat;53992870;Lisa;Western Australia;BUSSELTON;-33.60477;115.10066;Entire home/apt;356;2;69;2024-05-26;0.79;7;325;11;0;0;1;0;1;0;1;0;1;0;0;1;0;0;0;0;0
1226;Great location easy parking bus  airport close;99068195;Dale;Western Australia;SWAN;-31.87131;116.02087;Private room;80;1;244;2024-06-14;2.66;1;172;57;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
1227;Charming Joondalup Apartment WA;101346552;Hanifi;Western Australia;JOONDALUP;-31.73817;115.77049;Entire home/apt;130;2;97;2024-05-27;1.04;1;303;8;0;0;1;0;0;0;0;1;1;0;0;1;0;1;0;0;0
1228;Sea Breeze n Spa  Jayden Room Private Room;18119194;Leigh;Western Australia;JOONDALUP;-31.75339;115.7363;Private room;110;3;48;2024-05-05;0.54;4;306;6;0;1;0;1;0;1;0;0;0;0;1;0;0;1;0;0;0
1229;Grevillea Getaway;101468300;Erin;Western Australia;BUSSELTON;-33.62085;115.11344;Entire home/apt;457;2;16;2023-09-25;0.17;1;247;1;0;0;1;0;0;1;1;0;0;0;0;1;0;1;0;0;0
1230;Casa Feliz;511967;Hometime Group;Western Australia;BUSSELTON;-33.59941;115.10098;Entire home/apt;622;1;56;2023-10-16;0.61;126;254;1;0;1;1;0;0;0;1;0;1;0;0;0;0;0;0;0;1
1231;Injidup Break;4328240;Richard;Western Australia;BUSSELTON;-33.69092;115.00791;Entire home/apt;220;3;48;2024-06-03;0.54;1;257;2;0;1;0;1;0;0;0;0;0;0;0;1;0;1;0;1;0
1232;South Perth Apartment City Views;56683967;Mark;Western Australia;SOUTH PERTH;-31.97586;115.85661;Entire home/apt;283;4;113;2024-01-24;1.28;2;1;12;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;1;1
1233;Homestay;101765863;Jillian;Western Australia;STIRLING;-31.91993;115.88071;Private room;150;1;179;2024-06-09;1.94;1;307;24;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;1;0
1234;3B Private Queen Bed close to all amenities3B;80005507;Gary;Western Australia;KWINANA;-32.25472;115.82269;Private room;54;5;122;2024-03-04;1.32;3;360;9;1;1;0;0;0;0;0;0;1;0;0;0;0;1;0;1;0
1235;Stylish Cottesloe Apartment with Ocean View;18522370;Pippa;Western Australia;COTTESLOE;-31.99346;115.75608;Entire home/apt;213;3;199;2024-06-24;2.18;1;76;24;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
1236;Eagle Bay Discovery Cottage;21718553;Eagle Bay Discovery;Western Australia;BUSSELTON;-33.55985;115.06391;Entire home/apt;244;2;131;2024-06-03;1.5;1;305;14;0;0;1;1;1;0;0;0;0;0;0;0;1;1;0;0;0
1237;Limestone Manor Queen room;77643210;Ancrum;Western Australia;FREMANTLE;-32.06739;115.75586;Private room;131;2;45;2024-01-28;0.48;1;6;1;1;0;0;0;0;0;1;1;0;1;0;1;0;0;0;0;0
1238;Bumfish Flats Farm;72397757;Kate;Western Australia;PLANTAGENET;-34.83996;117.74;Entire home/apt;120;1;260;2024-06-03;2.82;1;92;25;1;1;0;0;0;1;0;0;0;0;1;0;0;1;0;0;0
1239;Villa on Fearn;16800421;Lucinda;Western Australia;AUGUSTA-MARGARET RIVER;-33.95242;115.07398;Entire home/apt;262;2;126;2024-06-08;1.39;4;234;17;0;0;1;0;0;0;1;1;1;0;0;0;0;0;0;0;1
1240;Amaroo Luxury apartment sea views  heated pool;102279115;Dave & Brenda;Western Australia;ROCKINGHAM;-32.43461;115.76023;Entire home/apt;175;5;113;2024-05-01;1.29;2;21;12;0;0;0;0;1;0;0;1;0;1;1;0;0;0;0;1;0
1241;West End WarehouseBathers Beachrooftop balcony;180370437;Nicole;Western Australia;FREMANTLE;-32.056884765625;115.74177551269533;Entire home/apt;212;3;87;2024-05-31;0.98;33;129;21;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
1242;Stylish Beachside Studio with Private Courtyard;6141738;David;Western Australia;COTTESLOE;-32.00476;115.7537;Entire home/apt;142;3;152;2024-06-12;1.65;11;344;24;1;0;0;0;1;0;1;1;0;0;0;1;0;0;0;0;0
1243;Geographe Bay Apartment;85390686;Cheryl;Western Australia;BUSSELTON;-33.65767;115.26793;Entire home/apt;269;2;9;2023-04-19;0.1;1;241;0;0;0;1;0;0;0;1;0;1;0;0;0;1;0;1;0;0
1244;Blissful Vineyard Double;30002692;Emily;Western Australia;PLANTAGENET;-34.66606;117.83492;Private room;243;2;1;2016-12-22;0.01;2;177;0;0;0;0;1;0;0;1;0;0;0;1;1;0;0;0;1;0
1245;Beautiful fullyequipped family home;84668386;Nicole;Western Australia;MANDURAH;-32.56185;115.70035;Entire home/apt;160;2;193;2024-06-10;2.11;1;239;24;1;0;0;1;1;0;1;0;0;0;0;0;1;0;0;0;0
1246;The White House;65544584;Julie;Western Australia;COTTESLOE;-31.98481;115.75571;Entire home/apt;579;7;34;2024-02-25;0.37;3;71;4;0;0;0;0;1;0;0;1;0;0;0;1;1;0;1;0;0
1247;Waterfront Luxury Mandurah;10860679;Liz;Western Australia;MANDURAH;-32.52768;115.71629;Entire home/apt;300;2;104;2024-06-14;1.16;1;240;26;1;1;0;0;0;0;0;1;0;0;1;1;0;0;0;0;0
1248;Luxury Resort Home Awaits You;11959020;Renee;Western Australia;JOONDALUP;-31.8316;115.79037;Entire home/apt;332;1;354;2024-06-04;3.91;1;126;41;0;0;0;1;0;0;0;0;1;1;1;0;0;0;0;0;1
1249;Sea La Vie;103174010;Shay;Western Australia;BUSSELTON;-33.64595;115.35273;Entire home/apt;233;2;214;2024-05-08;2.32;1;136;13;0;0;1;1;0;1;0;0;0;1;0;1;0;0;0;0;0
1250;Between the River and Sea;62049879;Simone;Western Australia;FREMANTLE;-32.02424;115.75639;Entire home/apt;764;4;9;2023-11-20;0.1;12;364;1;1;0;1;0;0;1;0;1;0;0;0;0;0;0;1;0;0
1251;Double executive roomSpotlessly Clean;602975;Mary;Western Australia;JOONDALUP;-31.81546;115.74276;Private room;75;2;10;2024-06-16;0.12;2;364;1;0;0;0;0;0;1;0;1;0;0;0;1;1;1;0;0;0
1252;Centrally Located Studio in Perth City;79745371;Michelle;Western Australia;PERTH;-31.95693;115.86603;Entire home/apt;103;1;483;2024-06-14;5.22;1;144;67;0;0;0;1;0;0;1;0;0;0;0;1;0;0;1;1;0
1253;M107 West Perth Studio Apartment near Kings Park;12629396;Terry;Western Australia;PERTH;-31.95373;115.84782;Entire home/apt;145;3;46;2024-05-22;1.07;11;167;15;0;0;1;0;1;0;1;0;1;0;0;0;0;0;0;1;0
1254;M102 West Perth Studio Apartment near Kings Park;17579312;Sharon;Western Australia;PERTH;-31.95428;115.84776;Entire home/apt;135;3;35;2024-04-22;0.44;11;250;10;1;0;0;0;1;1;0;0;0;0;0;0;0;1;1;0;0
1255;Chestnut Brook Getaway;103516097;Ann-Marie;Western Australia;AUGUSTA-MARGARET RIVER;-33.9478;115.04897;Entire home/apt;184;2;344;2024-06-25;3.77;1;83;63;0;0;0;0;0;0;0;1;0;1;1;1;0;0;1;0;0
1256;Bridgetown Treetops Guesthouse Too;6479555;Lesley;Western Australia;BRIDGETOWN-GREENBUSHES;-33.97303;116.17704;Private room;155;1;80;2023-05-07;0.89;2;33;0;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;1
1257;Luxury Tent 4;38296010;Nicki;Western Australia;AUGUSTA-MARGARET RIVER;-34.29815;115.14074;Private room;129;1;159;2024-06-08;1.72;4;357;25;1;0;0;0;0;0;0;0;0;1;1;0;1;0;0;1;0
1258;Oasis for the single traveller;55473265;Carmel;Western Australia;SOUTH PERTH;-31.98998;115.88178;Private room;51;3;55;2024-06-13;0.61;2;270;24;1;0;1;0;0;0;0;0;0;0;1;0;1;0;1;0;0
1259;Cosy WellAppointed Character House;103799832;Fran & Ade;Western Australia;CANNING;-32.03286;115.88991;Entire home/apt;130;3;135;2024-06-10;1.51;1;28;17;0;1;1;1;0;0;0;0;1;0;0;0;0;0;1;0;0
1260;Magnolia Cottage Spacious house PLUS Games Room;46769173;Angela And Duncan;Western Australia;MURRAY;-32.71366;116.07113;Entire home/apt;185;2;170;2024-06-03;1.96;1;26;16;1;0;0;1;0;0;0;0;1;0;0;1;0;0;0;1;0
1261;Cosy Two Bedroom Apartment in The Heart of Perth;51780482;Jo;Western Australia;PERTH;-31.95274;115.85615;Entire home/apt;235;4;86;2024-06-06;0.93;1;67;22;0;0;0;0;1;0;1;0;0;0;1;0;0;0;1;1;0
1262;Cliff Beach House Yallingup;103917409;Karen;Western Australia;BUSSELTON;-33.64628;115.02878;Entire home/apt;871;3;53;2024-01-22;0.71;1;124;4;0;0;1;0;1;0;0;0;0;0;1;0;1;0;1;0;0
1263;Bunker Bayhouse;511967;Hometime Group;Western Australia;BUSSELTON;-33.54586993391937;115.03245331355065;Entire home/apt;707;1;29;2024-04-05;0.34;126;226;2;0;1;0;0;1;0;1;0;0;0;0;0;0;1;0;1;0
1264;Busselton Beach House;67880712;Gary;Western Australia;BUSSELTON;-33.65051;115.32572;Entire home/apt;890;5;35;2024-01-07;0.43;1;324;3;0;0;1;0;1;1;0;0;0;1;1;0;0;0;0;0;0
1265;Affordable Seaside Escape an hour from Perth;33709937;Lori;Western Australia;GINGIN;-31.27173;115.44104;Entire home/apt;150;2;294;2024-04-27;3.19;1;134;17;1;0;0;0;1;0;0;0;0;0;0;0;1;1;0;1;0
1266;Historic Cottage in Central Albany;98736873;Margaret;Western Australia;ALBANY;-35.02598;117.88056;Entire home/apt;238;1;835;2024-06-22;9.35;3;245;103;1;0;1;1;0;0;0;0;0;1;0;0;0;1;0;0;0
1267;Spacious studio in enchanted garden;44639680;Ully;Western Australia;SUBIACO;-31.95652;115.81406;Entire home/apt;175;6;13;2024-02-12;0.14;2;42;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
1268;Bridgetown Treetops Guesthouse;6479555;Lesley;Western Australia;BRIDGETOWN-GREENBUSHES;-33.97233;116.17924;Private room;155;1;127;2024-06-03;1.39;2;33;1;0;0;0;1;0;0;0;0;0;0;1;1;1;0;1;0;0
1269;Spacious modern home  Walk to train and shops 1;109395616;Kerry;Western Australia;JOONDALUP;-31.72803;115.74682;Entire home/apt;151;2;156;2024-06-12;1.71;2;195;28;0;0;1;1;1;1;0;1;0;0;0;0;0;0;0;0;0
1270;Beaconsfield Bliss;31892216;Tarita;Western Australia;FREMANTLE;-32.06819;115.77108;Entire home/apt;140;4;17;2024-04-13;1.18;1;305;13;0;1;1;0;0;0;0;1;1;0;0;0;0;0;0;0;1
1271;Falconwood Cottage Top location spectacular views;22360339;David;Western Australia;DENMARK;-34.96726;117.3126;Entire home/apt;170;3;125;2024-06-22;1.59;2;269;24;0;1;0;1;0;0;1;0;0;1;0;1;0;0;0;0;0
1272;Birdsong leafy retreat;104542973;Meaghan;Western Australia;MANDURAH;-32.63208;115.64253;Entire home/apt;199;2;16;2022-03-07;0.18;1;231;0;0;0;1;1;0;1;0;0;0;0;0;1;0;1;0;0;0
1273;Bridgepoint 1303  Mandurah;9822545;Mandurah;Western Australia;MANDURAH;-32.528545;115.717377;Entire home/apt;293;2;6;2024-05-31;0.07;19;241;4;1;0;1;0;0;0;0;0;0;0;1;0;0;1;0;1;0
1274;Sea Side 205  Mandurah;9822545;Mandurah;Western Australia;MANDURAH;-32.522224;115.719513;Entire home/apt;236;2;11;2023-07-14;0.26;19;27;1;0;0;1;1;0;0;0;1;1;0;1;0;0;0;0;0;0
1275;Cascade Cottage a Couples Retreat;12311148;Olivia;Western Australia;AUGUSTA-MARGARET RIVER;-34.19046;115.12709;Entire home/apt;230;1;256;2024-06-18;2.79;6;272;37;1;0;0;0;1;0;0;1;0;0;1;0;0;0;1;0;0
1276;2 Bed 1 Bath Entire Apartment Free Wifi 100 Mbps;104616928;Paul;Western Australia;PERTH;-31.95734;115.87599;Entire home/apt;300;2;21;2023-03-05;0.23;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1277;Celinas Ocean View Studio;16549367;Sarah;Western Australia;FREMANTLE;-32.05216;115.75577;Entire home/apt;124;3;97;2024-05-24;1.08;1;177;13;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
1278;Sky View;511967;Hometime Group;Western Australia;BUSSELTON;-33.66319;115.05494;Entire home/apt;812;1;65;2023-02-27;0.72;126;292;0;1;0;0;0;0;0;0;0;1;0;1;0;0;1;1;0;0
1279;Tiny House in Central Albany;98736873;Margaret;Western Australia;ALBANY;-35.02593;117.88057;Entire home/apt;200;1;481;2024-06-20;6.51;3;331;102;0;0;0;1;1;0;0;0;0;1;0;1;0;1;0;0;0
1280;Margaret River Beach Studio  Studio 2;25483397;Lauren;Western Australia;AUGUSTA-MARGARET RIVER;-33.98198;114.99272;Entire home/apt;233;2;86;2024-03-16;1.0;2;29;12;0;0;1;0;0;0;1;0;1;0;1;0;0;1;0;0;0
1281;Riverview  Peppi Beach;104962074;David;Western Australia;CAPEL;-33.51457;115.51961;Entire home/apt;461;3;33;2024-05-29;0.43;1;174;4;1;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0
1282;Private home B  B Iluka 1;39079184;Lynn;Western Australia;JOONDALUP;-31.73244;115.73024;Private room;99;1;29;2023-11-20;0.32;1;0;2;0;1;0;0;0;0;1;0;0;0;1;0;1;0;1;0;0
1283;Amazing Group Stay 2 Kitchens 6 br4 bathrooms;22042760;Michelle;Western Australia;STIRLING;-31.8961;115.76294;Entire home/apt;1150;2;206;2024-06-20;2.27;2;271;36;0;0;1;1;0;0;0;0;1;0;0;0;1;0;0;1;0
1284;Panoramique  holiday home with a view;27018407;The Break;Western Australia;WANNEROO;-31.67522;115.70047;Entire home/apt;180;7;10;2023-05-29;0.11;5;312;0;0;0;0;0;0;1;1;0;1;0;0;0;0;1;1;0;0
1285;Busselton Holiday House;105374756;Jacqui;Western Australia;BUSSELTON;-33.65672;115.2993;Entire home/apt;529;2;92;2024-04-21;1.02;1;158;15;0;0;1;0;0;1;0;0;1;0;1;0;0;1;0;0;0
